student.studentNumber,student.firstName,student.lastName,student.middleName,function.SchoolCode,student.grade,student.birthdate,student.raceEthnicityFed,student.gender
100105,Chloe,Brooks,,7750,6,2010-06-15,7,M
100106,Omar,Rossi,,7760,1,2011-07-16,1,F
100107,Ruby,Hernandez,,0781,UG,2012-08-17,2,M
100108,Amara,Khan,,0780,10,2013-09-18,3,F
100109,Noah,Delgado,,0780,10,2014-01-10,4,M
100110,Chloe,Delgado,,0780,9,2015-02-11,5,F
100111,Kai,Rivera,,0780,10,2016-03-12,6,M
100112,Fatima,Rivera,,0779,3,2017-04-13,7,F
100113,Mateo,Ford,,7760,1,2010-05-14,1,M
100114,Harper,Ford,,0780,10,2011-06-15,2,F
100115,Amara,Torres,,7760,2,2012-07-16,3,M
100116,Priya,Long,,7760,K,2013-08-17,4,F
100117,Zoe,Bauer,,0780,12,2014-09-18,5,M
100118,Talia,Ahmed,,0779,3,2015-01-10,6,F
100119,Liam,Ahmed,,0779,3,2016-02-11,7,M
100120,Nina,Ford,,7760,PK,2017-03-12,1,F
100121,Maya,Torres,,0779,5,2010-04-13,2,M
100122,Mia,Haddad,,0781,UG,2011-05-14,3,F
100123,Fatima,Silva,,0780,9,2012-06-15,4,M
100124,Elijah,Petrov,,0780,10,2013-07-16,5,F
100125,Maya,Nakamura,,7750,7,2014-08-17,6,M
100126,Chloe,Patel,,0780,10,2015-09-18,7,F
100127,Omar,Flores,,7750,7,2016-01-10,1,M
100128,Wyatt,Garcia,,0779,4,2017-02-11,2,F
100129,Hugo,Flores,,0779,5,2010-03-12,3,M
100130,Jonah,Okafor,,7750,6,2011-04-13,4,F
100131,Nora,Abbott,,7760,1,2012-05-14,5,M
100132,Fatima,Khan,,7750,8,2013-06-15,6,F
100133,Aarav,Garcia,,0780,9,2014-07-16,7,M
100134,Elena,Torres,,7760,PK,2015-08-17,1,F
100135,Ava,Torres,,7750,6,2016-09-18,2,M
100136,Hugo,Osei,,0780,9,2017-01-10,3,F
100137,Layla,Osei,,0779,5,2010-02-11,4,M
100138,Santiago,Torres,,7760,2,2011-03-12,5,F
100139,Elena,Bauer,,0779,3,2012-04-13,6,M
100140,Ava,Reyes,,0780,12,2013-05-14,7,F
100141,Isabella,Abbott,,7750,8,2014-06-15,1,M
100142,Isabella,Petrov,,7750,6,2015-07-16,2,F
100143,Maya,Rivera,,0780,9,2016-08-17,3,M
100144,Aisha,Torres,,7760,1,2017-09-18,4,F
100145,Ethan,Ford,,7760,1,2010-01-10,5,M
100146,Elena,Rossi,,0780,9,2011-02-11,6,F
100147,Mateo,Garcia,,7750,8,2012-03-12,7,M
100148,Mason,Rossi,,7750,6,2013-04-13,1,F
100149,Nina,Khan,,7750,6,2014-05-14,2,M
100150,Harper,Khan,,7760,PK,2015-06-15,3,F
100151,Leo,Ford,,7750,6,2016-07-16,4,M
100152,Elena,Khan,,0779,3,2017-08-17,5,F
100153,Zoe,Williams,,0779,4,2010-09-18,6,M
100154,Leo,Petrov,,7750,8,2011-01-10,7,F
100155,Aisha,Cohen,,0779,4,2012-02-11,1,M
100156,Grace,Torres,,7760,2,2013-03-12,2,F
100157,Kai,Torres,,7760,1,2014-04-13,3,M
100158,Yusuf,Ahmed,,7750,6,2015-05-14,4,F
100159,Leo,Williams,,0780,9,2016-06-15,5,M
100160,Liam,Williams,,7760,1,2017-07-16,6,F
100161,Ava,Williams,,0779,5,2010-08-17,7,M
100162,Andre,Ford,,0779,3,2011-09-18,1,F
100163,Talia,Delgado,,0780,9,2012-01-10,2,M
100164,Andre,Kim,,0780,10,2013-02-11,3,F
100165,Jonah,Kim,,0779,5,2014-03-12,4,M
100166,Diego,Silva,,7750,6,2015-04-13,5,F
100167,Liam,Silva,,7760,PK,2016-05-14,6,M
100168,Layla,Bauer,,7750,8,2017-06-15,7,F
100169,Santiago,Nakamura,,0780,12,2010-07-16,1,M
100170,Naomi,Nguyen,,7760,PK,2011-08-17,2,F
100171,Ava,Johnson,,0780,11,2012-09-18,3,M
100172,Priya,Torres,,7760,PK,2013-01-10,4,F
100173,Grace,Nguyen,,0779,4,2014-02-11,5,M
100174,Ibrahim,Nguyen,,0780,11,2015-03-12,6,F
100175,Mateo,Patel,,0779,4,2016-04-13,7,M
100176,Aisha,Patel,,7750,7,2017-05-14,1,F
100177,Liam,Williams,,0780,10,2010-06-15,2,M
100178,Mason,Williams,,7760,1,2011-07-16,3,F
100179,Aisha,Nguyen,,0780,12,2012-08-17,4,M
100180,Zoe,Kim,,0779,5,2013-09-18,5,F
100181,Maya,Kim,,0779,5,2014-01-10,6,M
100182,Yusuf,Rivera,,0779,3,2015-02-11,7,F
100183,Malik,Ahmed,,0780,10,2016-03-12,1,M
100184,Malik,Long,,7760,K,2017-04-13,2,F
100185,Elena,Johnson,,7760,PK,2010-05-14,3,M
100186,Harper,Long,,7750,8,2011-06-15,4,F
100187,Yusuf,Hernandez,,7750,8,2012-07-16,5,M
100188,Mason,Bauer,,7760,PK,2013-08-17,6,F
100189,Elijah,Nguyen,,0779,4,2014-09-18,7,M
100190,Elijah,Brooks,,0780,11,2015-01-10,1,F
100191,Isabella,Petrov,,0780,9,2016-02-11,2,M
100192,Andre,Kim,,0780,12,2017-03-12,3,F
100193,Kai,Long,,0780,9,2010-04-13,4,M
100194,Noah,Flores,,0779,5,2011-05-14,5,F
100195,Lucas,Martin,,7760,K,2012-06-15,6,M
100196,Sofia,Hernandez,,7760,K,2013-07-16,7,F
100197,Noah,Hernandez,,7760,K,2014-08-17,1,M
100198,Isabella,Nakamura,,7750,7,2015-09-18,2,F
100199,Ibrahim,Nakamura,,7760,2,2016-01-10,3,M
100200,Santiago,Long,,0782,UG,2017-02-11,4,F
100001,Ella,Whitfield,,0779,3,2010-01-10,1,M
