student.studentNumber,student.firstName,student.lastName,student.middleName,function.SchoolCode,student.grade,student.birthdate,student.raceEthnicityFed,student.gender
100069,Fatima,Nakamura,,7750,6,2014-06-15,6,M
100070,Priya,Long,,0780,9,2015-07-16,7,F
100071,Naomi,Martin,,7760,1,2016-08-17,1,M
100072,Priya,Nakamura,,0780,11,2017-09-18,2,F
100073,Jonah,Patel,,7750,6,2010-01-10,3,M
100074,Ethan,Haddad,,7760,2,2011-02-11,4,F
100075,Kai,Haddad,,0780,9,2012-03-12,5,M
100076,Talia,Rossi,,0780,9,2013-04-13,6,F
100077,Lucas,Kim,,7760,K,2014-05-14,7,M
100078,Chloe,Okafor,,0780,9,2015-06-15,1,F
100079,Chloe,Silva,,7750,7,2016-07-16,2,M
100080,Ruby,Bauer,,0780,10,2017-08-17,3,F
100081,Elijah,Petrov,,7760,PK,2010-09-18,4,M
100082,Talia,Petrov,,0779,5,2011-01-10,5,F
100083,Diego,Petrov,,7750,8,2012-02-11,6,M
100084,Isabella,Delgado,,7750,8,2013-03-12,7,F
100085,Hugo,Bauer,,0779,3,2014-04-13,1,M
100086,Mia,Rossi,,0779,5,2015-05-14,2,F
100087,Maya,Petrov,,0780,10,2016-06-15,3,M
100088,Mason,Patel,,0779,4,2017-07-16,4,F
100089,Yusuf,Patel,,0779,5,2010-08-17,5,M
100090,Grace,Cohen,,7760,PK,2011-09-18,6,F
100091,Ava,Williams,,0779,3,2012-01-10,7,M
100092,Lucas,Abbott,,7760,K,2013-02-11,1,F
100093,Harper,Rivera,,0780,12,2014-03-12,2,M
100094,Layla,Williams,,7750,6,2015-04-13,3,F
100095,Fatima,Johnson,,7760,K,2016-05-14,4,M
100096,Jonah,Cohen,,0779,4,2017-06-15,5,F
100097,Mason,Patel,,0779,3,2010-07-16,6,M
100098,Jonah,Patel,,0779,3,2011-08-17,7,F
100099,Ava,Cohen,,0780,11,2012-09-18,1,M
100100,Harper,Nakamura,,7760,2,2013-01-10,2,F
100101,Aarav,Osei,,0779,3,2014-02-11,3,M
100102,Santiago,Delgado,,7760,2,2015-03-12,4,F
100103,Ibrahim,Khan,,0779,5,2016-04-13,5,M
100104,Amara,Rivera,,7750,7,2017-05-14,6,F
100105,Chloe,Khan,,7750,8,2010-06-15,7,M
100106,Andre,Delgado,,7760,PK,2011-07-16,1,F
100107,Wyatt,Delgado,,7760,1,2012-08-17,2,M
100108,Fatima,Garcia,,0780,11,2013-09-18,3,F
100109,Chloe,Brooks,,0780,10,2014-01-10,4,M
100110,Omar,Rossi,,7750,8,2015-02-11,5,F
100111,Ruby,Hernandez,,7750,6,2016-03-12,6,M
100112,Amara,Khan,,0779,4,2017-04-13,7,F
100113,Noah,Delgado,,7760,K,2010-05-14,1,M
100114,Chloe,Delgado,,0780,9,2011-06-15,2,F
100115,Kai,Rivera,,7760,K,2012-07-16,3,M
100116,Fatima,Rivera,,7760,PK,2013-08-17,4,F
100117,Mateo,Ford,,0780,11,2014-09-18,5,M
100118,Harper,Ford,,0779,3,2015-01-10,6,F
100119,Amara,Torres,,0779,5,2016-02-11,7,M
100120,Priya,Long,,7760,K,2017-03-12,1,F
100121,Zoe,Bauer,,7750,8,2010-04-13,2,M
100122,Talia,Ahmed,,0780,9,2011-05-14,3,F
100123,Liam,Ahmed,,0779,3,2012-06-15,4,M
100124,Nina,Ford,,0780,9,2013-07-16,5,F
100125,Maya,Torres,,7750,8,2014-08-17,6,M
100126,Mia,Haddad,,0779,5,2015-09-18,7,F
100127,Fatima,Silva,,7750,6,2016-01-10,1,M
100128,Elijah,Petrov,,0779,4,2017-02-11,2,F
100129,Maya,Nakamura,,0779,4,2010-03-12,3,M
100130,Chloe,Patel,,7750,7,2011-04-13,4,F
100131,Omar,Flores,,7760,K,2012-05-14,5,M
100132,Wyatt,Garcia,,7750,7,2013-06-15,6,F
100133,Hugo,Flores,,0780,12,2014-07-16,7,M
100134,Jonah,Okafor,,0780,9,2015-08-17,1,F
100135,Nora,Abbott,,0780,11,2016-09-18,2,M
100136,Fatima,Khan,,0779,5,2017-01-10,3,F
100137,Aarav,Garcia,,0779,3,2010-02-11,4,M
100138,Elena,Torres,,7760,PK,2011-03-12,5,F
100139,Ava,Torres,,0779,3,2012-04-13,6,M
100140,Hugo,Osei,,0780,9,2013-05-14,7,F
100141,Layla,Osei,,7750,8,2014-06-15,1,M
100142,Santiago,Torres,,7750,8,2015-07-16,2,F
100143,Elena,Bauer,,0780,9,2016-08-17,3,M
100144,Ava,Reyes,,0781,UG,2017-09-18,4,F
100145,Isabella,Abbott,,7760,2,2010-01-10,5,M
100146,Isabella,Petrov,,0780,9,2011-02-11,6,F
100147,Maya,Rivera,,7750,6,2012-03-12,7,M
100148,Aisha,Torres,,7750,7,2013-04-13,1,F
100149,Ethan,Ford,,0780,11,2014-05-14,2,M
100150,Elena,Rossi,,7760,PK,2015-06-15,3,F
100151,Mateo,Garcia,,7750,8,2016-07-16,4,M
100152,Mason,Rossi,,0780,10,2017-08-17,5,F
100153,Nina,Khan,,0779,3,2010-09-18,6,M
100154,Harper,Khan,,7750,6,2011-01-10,7,F
100155,Leo,Ford,,0779,3,2012-02-11,1,M
100156,Elena,Khan,,7760,PK,2013-03-12,2,F
100157,Zoe,Williams,,7760,1,2014-04-13,3,M
100158,Leo,Petrov,,7750,8,2015-05-14,4,F
100159,Aisha,Cohen,,0780,11,2016-06-15,5,M
100160,Grace,Torres,,7760,2,2017-07-16,6,F
100161,Kai,Torres,,0779,5,2010-08-17,7,M
100162,Yusuf,Ahmed,,0779,3,2011-09-18,1,F
100163,Leo,Williams,,0780,9,2012-01-10,2,M
100164,Liam,Williams,,0780,11,2013-02-11,3,F
100165,Ava,Williams,,0779,5,2014-03-12,4,M
100166,Andre,Ford,,7750,6,2015-04-13,5,F
100167,Talia,Delgado,,7760,PK,2016-05-14,6,M
100168,Andre,Kim,,0780,10,2017-06-15,7,F
100169,Jonah,Kim,,0780,12,2010-07-16,1,M
100170,Diego,Silva,,7760,PK,2011-08-17,2,F
100171,Liam,Silva,,0780,9,2012-09-18,3,M
100172,Layla,Bauer,,0780,12,2013-01-10,4,F
100173,Santiago,Nakamura,,0779,5,2014-02-11,5,M
100174,Naomi,Nguyen,,0780,9,2015-03-12,6,F
100175,Ava,Johnson,,0779,4,2016-04-13,7,M
100176,Priya,Torres,,7750,6,2017-05-14,1,F
100177,Grace,Nguyen,,0780,10,2010-06-15,2,M
100178,Ibrahim,Nguyen,,7760,1,2011-07-16,3,F
100179,Mateo,Patel,,0780,11,2012-08-17,4,M
100180,Aisha,Patel,,0779,4,2013-09-18,5,F
100181,Liam,Williams,,7750,7,2014-01-10,6,M
100182,Mason,Williams,,0780,11,2015-02-11,7,F
100183,Aisha,Nguyen,,0780,12,2016-03-12,1,M
100184,Zoe,Kim,,7760,1,2017-04-13,2,F
100185,Maya,Kim,,7760,1,2010-05-14,3,M
100186,Yusuf,Rivera,,7750,6,2011-06-15,4,F
100187,Malik,Ahmed,,0780,10,2012-07-16,5,M
100188,Malik,Long,,7760,K,2013-08-17,6,F
100189,Elena,Johnson,,0779,3,2014-09-18,7,M
100190,Harper,Long,,0780,12,2015-01-10,1,F
100191,Yusuf,Hernandez,,0780,12,2016-02-11,2,M
100192,Mason,Bauer,,0780,9,2017-03-12,3,F
100193,Elijah,Nguyen,,0780,10,2010-04-13,4,M
100194,Elijah,Brooks,,7760,1,2011-05-14,5,F
100195,Isabella,Petrov,,7760,PK,2012-06-15,6,M
100196,Andre,Kim,,7760,2,2013-07-16,7,F
100197,Kai,Long,,7760,PK,2014-08-17,1,M
100198,Noah,Flores,,7750,8,2015-09-18,2,F
100199,Lucas,Martin,,7760,K,2016-01-10,3,M
100200,Sofia,Hernandez,,0782,UG,2017-02-11,4,F
